question_id,disease_category,disease_prevalence,question_type,requires_visual_reasoning,original_disease,canonical_disease,disease_subcategory
447,Inflammatory,rare,diagnosis,False,Stevens-Johnson Syndrome,Stevens-Johnson Syndrome,Autoimmune
448,Inflammatory,rare,diagnosis,False,Desquamative Interstitial Pneumonia,Desquamative Interstitial Pneumonia,Autoimmune
446,Neoplastic,rare,diagnosis,True,Poikilodermatous Mycosis Fungoides,Poikilodermatous Mycosis Fungoides,Malignant
449,Inflammatory,rare,diagnosis,False,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis,Vascular & Urticarial
450,Metabolic Systemic,moderate,diagnosis,False,Recalcitrant Diabetic Foot Ulcer With Critical Limb Ischemia,Diabetic Foot Ulcer,Endocrine-Associated
452,Neoplastic,moderate,diagnosis,False,Metastatic Malignant Melanoma,Metastatic Melanoma,Malignant
451,Inflammatory,rare,diagnosis,False,Lupus Mesenteric Vasculitis,Lupus Mesenteric Vasculitis,Vascular & Urticarial
453,Infectious,rare,diagnosis,True,Cutaneous Tuberculosis,Cutaneous Tuberculosis,Bacterial
454,Inflammatory,rare,diagnosis,False,Eosinophilic Granulomatosis With Polyangiitis,Eosinophilic Granulomatosis with Polyangiitis,Vascular & Urticarial
455,Neoplastic,rare,diagnosis,False,Undifferentiated High-Grade Pleomorphic Sarcoma,Undifferentiated Pleomorphic Sarcoma,Malignant
456,Inflammatory,rare,diagnosis,False,Cocaine-Induced Plasma Cell Orificial Mucositis,Cocaine-Induced Plasma Cell Orificial Mucositis,Neutrophilic
457,Neoplastic,rare,diagnosis,True,Dermal Cylindroma,Dermal Cylindroma,Benign
458,Neoplastic,common,diagnosis,False,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Malignant
459,Inflammatory,rare,diagnosis,False,Kawasaki Disease Shock Syndrome,Kawasaki Disease Shock Syndrome,Vascular & Urticarial
461,Inflammatory,rare,diagnosis,False,Relapsing Polychondritis,Relapsing Polychondritis,Autoimmune
462,Inflammatory,moderate,diagnosis,False,Pyoderma Gangrenosum,Pyoderma Gangrenosum,Neutrophilic
463,Neoplastic,common,diagnosis,True,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,Malignant
460,Inflammatory,moderate,diagnosis,False,Immunoglobulin A Vasculitis (Henoch-Schönlein Purpura),IgA Vasculitis,Vascular & Urticarial
466,Neoplastic,moderate,diagnosis,False,Follicular Lymphoma,Follicular Lymphoma,Malignant
465,Inflammatory,common,diagnosis,False,Acne Vulgaris,Acne Vulgaris,Neutrophilic
467,Neoplastic,rare,diagnosis,False,Primary Pulmonary Malignant Melanoma,Primary Pulmonary Malignant Melanoma,Malignant
468,Neoplastic,rare,diagnosis,False,Primary Malignant Melanoma Of The Esophagus,Primary Malignant Melanoma Of The Esophagus,Malignant
470,Inflammatory,moderate,diagnosis,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune
469,Neoplastic,moderate,diagnosis,False,Gastric Cardia Adenocarcinoma,Gastric Cardia Adenocarcinoma,Malignant
471,Other,moderate,diagnosis,False,Secondary Raynaud'S Phenomenon,Secondary Raynaud's Phenomenon,Unclassified
474,Inflammatory,rare,diagnosis,False,Acquired Hemophilia A,Acquired Hemophilia A,Autoimmune
473,Inflammatory,moderate,diagnosis,False,Immune Checkpoint Inhibitor-Induced Enterocolitis,Immune Checkpoint Inhibitor-Induced Enterocolitis,Autoimmune
464,Neoplastic,rare,diagnosis,False,"Extranodal Nk/T-Cell Lymphoma, Nasal Type (Non-Nasal)",Extranodal NK/T-Cell Lymphoma,Malignant
475,Inflammatory,moderate,diagnosis,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune
476,Inflammatory,rare,diagnosis,False,Immune Checkpoint Inhibitor-Associated Myositis,Immune Checkpoint Inhibitor-Induced Myositis,Autoimmune
472,Neoplastic,rare,diagnosis,True,Sinonasal Mucosal Melanoma,Sinonasal Mucosal Melanoma,Malignant
477,Inflammatory,moderate,diagnosis,False,Immune Checkpoint Inhibitor-Associated Hypophysitis,Immune Checkpoint Inhibitor-Induced Hypophysitis,Autoimmune
478,Inflammatory,moderate,diagnosis,False,Immune Checkpoint Inhibitor-Related Hypophysitis,Immune Checkpoint Inhibitor-Induced Hypophysitis,Autoimmune
479,Inflammatory,rare,diagnosis,False,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis,Vascular & Urticarial
480,Neoplastic,common,diagnosis,False,Metastatic Malignant Melanoma,Metastatic Melanoma,Malignant
481,Infectious,common,diagnosis,True,Onychomycosis,Onychomycosis,Fungal
482,Inflammatory,rare,diagnosis,False,Takayasu Arteritis,Takayasu's Arteritis,Vascular & Urticarial
483,Inflammatory,moderate,diagnosis,True,Behçet'S Disease,Behçet's Disease,Neutrophilic
484,Neoplastic,rare,diagnosis,False,Metastatic Invasive Ductal Carcinoma Of The Breast,Metastatic Invasive Ductal Carcinoma of the Breast,Malignant
486,Neoplastic,rare,diagnosis,True,Cutaneous Metastasis From Poorly Differentiated Thyroid Carcinoma,Cutaneous Metastasis From Poorly Differentiated Thyroid Carcinoma,Malignant
485,Neoplastic,moderate,diagnosis,False,Hereditary Breast Cancer,Hereditary Breast And Ovarian Cancer Syndrome,Premalignant
487,Inflammatory,rare,diagnosis,False,Behçet'S Syndrome,Behçet's Disease,Neutrophilic
488,Inflammatory,moderate,diagnosis,False,Foreign Body Granuloma,Foreign Body Granuloma,Autoimmune
489,Neoplastic,rare,diagnosis,False,"Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type","Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type",Malignant
491,Inflammatory,moderate,diagnosis,False,Urticarial Dermatitis,Urticarial Dermatitis,Vascular & Urticarial
493,Infectious,moderate,diagnosis,True,Lupus Vulgaris,Lupus Vulgaris,Bacterial
490,Inflammatory,moderate,diagnosis,False,Primary Sclerosing Cholangitis,Primary Sclerosing Cholangitis,Autoimmune
494,Inflammatory,rare,diagnosis,False,Eosinophilic Granulomatosis With Polyangiitis,Eosinophilic Granulomatosis with Polyangiitis,Vascular & Urticarial
492,Other,rare,diagnosis,False,Solitary Peutz–Jeghers Polyp,Solitary Peutz–Jeghers Polyp,Unclassified
495,Metabolic Systemic,common,diagnosis,False,Chronic Venous Insufficiency,Chronic Venous Insufficiency,Systemic Disease Manifestations
496,Inflammatory,rare,diagnosis,False,Generalized Pustular Psoriasis,Generalized Pustular Psoriasis,Papulosquamous
497,Neoplastic,rare,diagnosis,False,Merkel Cell Carcinoma,Merkel Cell Carcinoma,Malignant
498,Neoplastic,rare,diagnosis,False,Dermatofibrosarcoma Protuberans,Dermatofibrosarcoma Protuberans,Malignant
499,Inflammatory,moderate,diagnosis,False,Hidradenitis Suppurativa,Hidradenitis Suppurativa,Neutrophilic
501,Infectious,rare,diagnosis,False,Cutaneous Coccidioidomycosis,Cutaneous Coccidioidomycosis,Fungal
502,Inflammatory,rare,diagnosis,False,Statin-Induced Angioedema,Statin-Induced Angioedema,Vascular & Urticarial
500,Infectious,rare,diagnosis,False,White Piedra,White Piedra,Fungal
503,Neoplastic,rare,diagnosis,False,Apocrine Carcinoma,Apocrine Carcinoma,Malignant
504,Inflammatory,moderate,diagnosis,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune
505,Neoplastic,common,diagnosis,False,Metastatic Breast Cancer,Metastatic Breast Carcinoma,Malignant
507,Inflammatory,moderate,diagnosis,False,Drug-Induced Myopathy,Drug-Induced Myopathy,Autoimmune
506,Other,common,diagnosis,False,General,General,Unclassified
508,Inflammatory,moderate,diagnosis,False,Iga Nephropathy,IgA Nephropathy,Autoimmune
509,Genetic Rare,rare,diagnosis,True,Nonbullous Congenital Ichthyosiform Erythroderma,Nonbullous Congenital Ichthyosiform Erythroderma,Genodermatoses
511,Metabolic Systemic,rare,diagnosis,False,Hypocalcemia-Related Pustulosis,Hypocalcemia-Related Pustulosis,Endocrine-Associated
510,Other,rare,diagnosis,False,Bleb Leak With Ocular Hypotony Following Trabeculectomy Needling,Bleb Leak With Ocular Hypotony Following Trabeculectomy Needling,Traumatic & Environmental
513,Other,moderate,diagnosis,False,Postoperative Exudative Pleural Effusion,Postoperative Exudative Pleural Effusion,Traumatic & Environmental
512,Other,rare,diagnosis,False,Lipomatous Hypertrophy Of The Interatrial Septum,Lipomatous Hypertrophy Of The Interatrial Septum,Unclassified
515,Inflammatory,rare,diagnosis,False,Pseudo-Pseudo Meigs Syndrome,Pseudo-Pseudo Meigs Syndrome,Unclassified
514,Infectious,rare,diagnosis,True,Mpox (Monkeypox),Mpox,Viral
518,Inflammatory,moderate,diagnosis,False,Kawasaki Disease Complicated By Macrophage Activation Syndrome,Kawasaki Disease Complicated By Macrophage Activation Syndrome,Vascular & Urticarial
516,Inflammatory,rare,diagnosis,False,Iga Vasculitis Nephritis With Seronegative Anti-Gbm Antibody-Mediated Glomerulonephritis,IgA Vasculitis with Nephritis,Vascular & Urticarial
520,Infectious,moderate,diagnosis,False,Disseminated Blastomycosis,Disseminated Blastomycosis,Fungal
519,Inflammatory,rare,diagnosis,False,Sclerosing Orbital Inflammatory Pseudotumor Associated With Anca-Associated Vasculitis,Sclerosing Orbital Inflammatory Pseudotumor Associated With ANCA-Associated Vasculitis,Vascular & Urticarial
521,Inflammatory,moderate,diagnosis,False,Crohn'S Disease,Crohn's Disease,Neutrophilic
522,Genetic Rare,rare,diagnosis,False,Nagashima-Type Palmoplantar Keratoderma,Nagashima-Type Palmoplantar Keratoderma,Genodermatoses
525,Inflammatory,rare,diagnosis,False,Idiopathic Granulomatous Lobular Mastitis,Idiopathic Granulomatous Mastitis,Neutrophilic
526,Neoplastic,rare,diagnosis,True,Metaplastic Breast Carcinoma,Metaplastic Breast Carcinoma,Malignant
523,Genetic Rare,rare,diagnosis,False,Netherton Syndrome,Netherton Syndrome,Genodermatoses
524,Neoplastic,rare,diagnosis,True,Subungual Amelanotic Melanoma,Subungual Amelanotic Melanoma,Malignant
527,Other,rare,diagnosis,False,Yellow Nail Syndrome,Yellow Nail Syndrome,Unclassified
528,Neoplastic,rare,diagnosis,False,Blue Nevus Melanoma,Blue Nevus Melanoma,Malignant
530,Inflammatory,moderate,diagnosis,False,Dermatomyositis,Dermatomyositis,Autoimmune
529,Neoplastic,rare,diagnosis,False,Hereditary Breast Cancer Associated With Heterozygous Mutyh Pathogenic Variant,Hereditary Breast Cancer Associated With Heterozygous MUTYH Pathogenic Variant,Premalignant
534,Neoplastic,moderate,diagnosis,False,Follicular Lymphoma,Follicular Lymphoma,Malignant
533,Neoplastic,rare,diagnosis,True,Invasive Apocrine Carcinoma,Invasive Apocrine Carcinoma,Malignant
532,Inflammatory,rare,diagnosis,False,Drug Reaction With Eosinophilia And Systemic Symptoms,Drug Reaction With Eosinophilia And Systemic Symptoms (DRESS) Syndrome,Eczematous
531,Neoplastic,rare,diagnosis,False,Desmoplastic Fibroblastoma,Desmoplastic Fibroblastoma,Benign
535,Inflammatory,moderate,diagnosis,True,Hidradenitis Suppurativa,Hidradenitis Suppurativa,Neutrophilic
537,Other,rare,diagnosis,False,Ross Syndrome,Ross Syndrome,Unclassified
538,Inflammatory,moderate,diagnosis,True,Dermatomyositis,Dermatomyositis,Autoimmune
536,Inflammatory,moderate,diagnosis,True,Hidradenitis Suppurativa,Hidradenitis Suppurativa,Neutrophilic
540,Inflammatory,rare,diagnosis,False,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis,Vascular & Urticarial
542,Inflammatory,rare,diagnosis,False,Granulomatosis With Polyangiitis,Granulomatosis With Polyangiitis,Vascular & Urticarial
541,Metabolic Systemic,common,diagnosis,False,Diabetic Foot Ulcer,Diabetic Foot Ulcer,Endocrine-Associated
543,Neoplastic,rare,diagnosis,False,Invasive Solid Papillary Carcinoma,Invasive Solid Papillary Carcinoma,Malignant
544,Neoplastic,rare,diagnosis,False,Solid Papillary Carcinoma Of The Breast,Solid Papillary Carcinoma Of The Breast,Malignant
545,Neoplastic,common,diagnosis,False,Lobular Invasive Carcinoma Of The Breast,Invasive Lobular Carcinoma,Malignant
546,Neoplastic,rare,diagnosis,False,Hereditary Diffuse Gastric Cancer Syndrome,Hereditary Diffuse Gastric Cancer Syndrome,Premalignant
547,Inflammatory,moderate,diagnosis,False,Systemic Sclerosis,Systemic Sclerosis,Autoimmune
548,Metabolic Systemic,rare,diagnosis,False,Al Amyloidosis,AL Amyloidosis,Systemic Disease Manifestations
550,Inflammatory,moderate,diagnosis,True,Lichen Planus,Lichen Planus,Papulosquamous
549,Inflammatory,moderate,diagnosis,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune
551,Other,rare,diagnosis,True,Esophageal Epidermoid Metaplasia,Esophageal Epidermoid Metaplasia,Unclassified
539,Inflammatory,rare,diagnosis,False,Reactive Infectious Mucocutaneous Eruption,Reactive Infectious Mucocutaneous Eruption,Vascular & Urticarial
552,Infectious,common,diagnosis,True,Tinea Capitis,Tinea Capitis,Fungal
553,Inflammatory,rare,diagnosis,True,Drug-Induced Acute Febrile Neutrophilic Dermatosis,Drug-Induced Acute Febrile Neutrophilic Dermatosis,Neutrophilic
554,Inflammatory,rare,diagnosis,False,Pemphigus Erythematosus,Pemphigus Erythematosus,Autoimmune
555,Inflammatory,rare,diagnosis,False,Histiocytoid Sweet Syndrome,Histiocytoid Sweet Syndrome,Neutrophilic
556,Infectious,rare,diagnosis,False,Chromoblastomycosis,Chromoblastomycosis,Fungal
557,Infectious,rare,diagnosis,False,Eumycetoma,Eumycetoma,Fungal
558,Inflammatory,moderate,diagnosis,True,Pyoderma Gangrenosum,Pyoderma Gangrenosum,Neutrophilic
560,Inflammatory,rare,diagnosis,False,Paraneoplastic Variable-Vessel Vasculitis,Paraneoplastic Variable-Vessel Vasculitis,Vascular & Urticarial
561,Infectious,rare,diagnosis,False,Eumycetoma,Eumycetoma,Fungal
559,Metabolic Systemic,common,diagnosis,False,Diabetic Foot Ulcer With Peripheral Arterial Disease,Diabetic Foot Ulcer With Peripheral Arterial Disease,Endocrine-Associated
562,Infectious,rare,diagnosis,False,Actinomycetoma,Actinomycetoma,Bacterial
563,Neoplastic,rare,diagnosis,False,Primary Cervical Melanoma,Primary Cervical Melanoma,Malignant
565,Neoplastic,rare,diagnosis,False,Primary Cutaneous Cd8-Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma,Primary Cutaneous CD8-Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma,Malignant
564,Neoplastic,rare,diagnosis,False,Extranodal Nk/T-Cell Lymphoma,Extranodal NK/T-Cell Lymphoma,Malignant
566,Neoplastic,rare,diagnosis,False,Paraneoplastic Limbic Encephalitis,Paraneoplastic Limbic Encephalitis,Malignant
568,Genetic Rare,rare,diagnosis,False,Cryopyrin-Associated Periodic Syndrome,Cryopyrin-Associated Periodic Syndrome,Syndromic
567,Infectious,rare,diagnosis,False,Cutaneous Mucormycosis,Cutaneous Mucormycosis,Fungal
569,Inflammatory,moderate,diagnosis,False,Kawasaki Disease,Kawasaki Disease,Vascular & Urticarial
570,Inflammatory,moderate,diagnosis,False,Incomplete Kawasaki Disease,Incomplete Kawasaki Disease,Vascular & Urticarial
571,Inflammatory,rare,diagnosis,False,Eosinophilic Granulomatosis With Polyangiitis,Eosinophilic Granulomatosis with Polyangiitis,Vascular & Urticarial
573,Inflammatory,moderate,diagnosis,False,Exanthematous Drug Eruption,Exanthematous Drug Eruption,Eczematous
572,Metabolic Systemic,rare,diagnosis,True,Acral Persistent Papular Mucinosis,Acral Persistent Papular Mucinosis,Systemic Disease Manifestations
575,Neoplastic,rare,diagnosis,True,Primary Cutaneous Marginal Zone Lymphoma,Primary Cutaneous Marginal Zone Lymphoma,Malignant
574,Metabolic Systemic,common,diagnosis,False,Diabetic Foot Gangrene,Diabetic Foot Gangrene,Endocrine-Associated
577,Inflammatory,moderate,diagnosis,False,Systemic Sclerosis,Systemic Sclerosis,Autoimmune
578,Inflammatory,rare,diagnosis,True,Drug-Induced Pseudocyanosis,Drug-Induced Pseudocyanosis,Vascular & Urticarial
579,Infectious,rare,diagnosis,False,Parvovirus B19-Induced Pure Red Cell Aplasia,Parvovirus B19-Induced Pure Red Cell Aplasia,Viral
576,Metabolic Systemic,rare,diagnosis,False,Barraquer–Simons Syndrome,Barraquer–Simons Syndrome,Endocrine-Associated
580,Other,rare,diagnosis,False,Pseudoangiomatous Stromal Hyperplasia,Pseudoangiomatous Stromal Hyperplasia,Unclassified
581,Neoplastic,common,diagnosis,True,Superficial Spreading Melanoma,Superficial Spreading Melanoma,Malignant
582,Inflammatory,moderate,diagnosis,False,Ulcerative Colitis,Ulcerative Colitis,Neutrophilic
583,Neoplastic,rare,diagnosis,False,Primary Vaginal Malignant Melanoma,Primary Vaginal Malignant Melanoma,Malignant
585,Inflammatory,rare,diagnosis,False,Bullous Hemorrhagic Dermatosis,Bullous Hemorrhagic Dermatosis,Vascular & Urticarial
587,Infectious,moderate,diagnosis,True,Tinea Incognito,Tinea Incognito,Fungal
588,Infectious,common,diagnosis,False,Bacterial Folliculitis,Bacterial Folliculitis,Bacterial
584,Neoplastic,rare,diagnosis,False,Occult Breast Cancer,Occult Breast Cancer,Malignant
586,Inflammatory,common,diagnosis,False,General,General,Unclassified
590,Neoplastic,common,diagnosis,False,Invasive Ductal Carcinoma,Invasive Ductal Carcinoma,Malignant
589,Neoplastic,rare,diagnosis,False,Radiation-Induced Sarcoma / Second Primary Malignancy,Radiation-Induced Sarcoma,Malignant
591,Neoplastic,rare,diagnosis,False,Atypical Lipomatous Tumor/Well-Differentiated Liposarcoma,Atypical Lipomatous Tumor/Well-Differentiated Liposarcoma,Malignant
593,Inflammatory,rare,diagnosis,False,Loeffler Endocarditis,Löffler Endocarditis,Autoimmune
595,Neoplastic,rare,diagnosis,False,Fumarate Hydratase-Deficient Renal Cell Carcinoma,Fumarate Hydratase-Deficient Renal Cell Carcinoma,Malignant
594,Infectious,moderate,diagnosis,True,Malassezia Folliculitis,Malassezia Folliculitis,Fungal
596,Neoplastic,moderate,diagnosis,True,Conventional Malignant Melanoma,Melanoma,Malignant
597,Other,moderate,diagnosis,False,Primary Raynaud Syndrome,Primary Raynaud Syndrome,Unclassified
598,Inflammatory,rare,diagnosis,False,Antisynthetase Syndrome,Antisynthetase Syndrome,Autoimmune
599,Inflammatory,rare,diagnosis,False,Behçet'S Disease,Behçet's Disease,Neutrophilic
600,Metabolic Systemic,rare,diagnosis,False,Paraneoplastic Opsoclonus-Myoclonus-Ataxia Syndrome,Paraneoplastic Opsoclonus-Myoclonus-Ataxia Syndrome,Systemic Disease Manifestations
602,Inflammatory,rare,diagnosis,False,Microscopic Polyangiitis,Microscopic Polyangiitis,Vascular & Urticarial
603,Inflammatory,moderate,diagnosis,False,Immune Checkpoint Inhibitor-Induced Pancreatitis,Immune Checkpoint Inhibitor-Induced Pancreatitis,Autoimmune
604,Inflammatory,moderate,diagnosis,True,Drug-Induced Psoriasis,Drug-Induced Psoriasis,Papulosquamous
605,Inflammatory,moderate,diagnosis,False,Immune-Related Adverse Events (Pd-1 Inhibitor),Immune-Related Adverse Events,Autoimmune
607,Genetic Rare,rare,diagnosis,False,Common Variable Immunodeficiency Due To Nfkb1 Haploinsufficiency,Common Variable Immunodeficiency Due To NFKB1 Haploinsufficiency,Syndromic
606,Genetic Rare,rare,diagnosis,False,Whim Syndrome,WHIM Syndrome,Syndromic
608,Infectious,rare,diagnosis,False,Onychomycosis,Onychomycosis,Fungal
592,Neoplastic,rare,diagnosis,False,Mucinous Cystadenocarcinoma Of The Breast,Mucinous Cystadenocarcinoma Of The Breast,Malignant
610,Inflammatory,rare,mechanism,False,Microscopic Polyangiitis,Microscopic Polyangiitis,Vascular & Urticarial
611,Neoplastic,rare,diagnosis,False,Subcutaneous Panniculitis-Like T-Cell Lymphoma,Subcutaneous Panniculitis-Like T-Cell Lymphoma,Malignant
609,Metabolic Systemic,common,diagnosis,False,Diabetic Foot Ulcer,Diabetic Foot Ulcer,Endocrine-Associated
613,Inflammatory,rare,diagnosis,False,Drug Reaction With Eosinophilia And Systemic Symptoms,Drug Reaction With Eosinophilia And Systemic Symptoms (DRESS) Syndrome,Eczematous
614,Genetic Rare,rare,diagnosis,False,Congenital Generalized Lipodystrophy,Congenital Generalized Lipodystrophy,Metabolic-Genetic
615,Neoplastic,moderate,diagnosis,False,Ductal Carcinoma In Situ,Ductal Carcinoma In Situ,Premalignant
616,Other,rare,diagnosis,False,Neutropenic Enterocolitis (Typhlitis),Neutropenic Enterocolitis,Unclassified
617,Inflammatory,moderate,diagnosis,False,Behçet'S Disease,Behçet's Disease,Neutrophilic
618,Neoplastic,rare,diagnosis,False,Cutaneous Ewing Sarcoma,Cutaneous Ewing Sarcoma,Malignant
612,Inflammatory,rare,diagnosis,False,Hypocomplementemic Urticarial Vasculitis Syndrome,Hypocomplementemic Urticarial Vasculitis Syndrome,Vascular & Urticarial
620,Other,rare,diagnosis,True,Pelvic Lipomatosis,Pelvic Lipomatosis,Unclassified
619,Infectious,rare,diagnosis,False,Actinomycotic Mycetoma Caused By Nocardia Otitidiscaviarum,Actinomycetoma,Bacterial
622,Inflammatory,moderate,diagnosis,True,Alopecia Areata,Alopecia Areata,Autoimmune
623,Neoplastic,moderate,diagnosis,False,Metastatic Breast Carcinoma,Metastatic Breast Carcinoma,Malignant
621,Inflammatory,moderate,diagnosis,False,Bullous Pemphigoid,Bullous Pemphigoid,Autoimmune
624,Infectious,common,diagnosis,False,Verruca Vulgaris,Verruca Vulgaris,Viral
625,Genetic Rare,rare,diagnosis,False,Zap70 Deficiency,ZAP-70 Deficiency,Syndromic
626,Hair Nail,common,diagnosis,False,Androgenetic Alopecia,Androgenetic Alopecia,Hair Loss
627,Hair Nail,moderate,diagnosis,False,Scarring Alopecia Secondary To Trauma,Scarring Alopecia Secondary To Trauma,Hair Loss
630,Neoplastic,rare,diagnosis,True,Langerhans Cell Sarcoma,Langerhans Cell Sarcoma,Malignant
629,Inflammatory,moderate,diagnosis,False,Dermatomyositis,Dermatomyositis,Autoimmune
632,Inflammatory,common,diagnosis,False,Allergic Contact Dermatitis,Allergic Contact Dermatitis,Eczematous
631,Pigmentation,moderate,diagnosis,True,Segmental Vitiligo,Segmental Vitiligo,Hypopigmentation
633,Inflammatory,common,diagnosis,False,Allergic Contact Dermatitis,Allergic Contact Dermatitis,Eczematous
634,Infectious,rare,diagnosis,False,Ludwig'S Angina,Ludwig's Angina,Bacterial
636,Inflammatory,moderate,diagnosis,False,Limited Cutaneous Systemic Sclerosis,Limited Cutaneous Systemic Sclerosis,Autoimmune
635,Other,rare,diagnosis,False,Idiopathic Portal Hypertension,Idiopathic Portal Hypertension,Unclassified
638,Neoplastic,rare,diagnosis,False,Therapy-Related Myelodysplastic Syndrome,Therapy-Related Myelodysplastic Syndrome,Malignant
637,Inflammatory,moderate,diagnosis,False,Sweet Syndrome,Sweet's Syndrome,Neutrophilic
639,Inflammatory,common,diagnosis,True,Atopic Dermatitis,Atopic Dermatitis,Eczematous
640,Other,common,diagnosis,False,Epidermoid Cyst,Epidermoid Cyst,Unclassified
641,Neoplastic,common,diagnosis,False,Basal Cell Carcinoma,Basal Cell Carcinoma,Malignant
642,Neoplastic,moderate,diagnosis,False,Cancer Therapy-Induced Thrombocytopenia,Cancer Therapy-Induced Thrombocytopenia,Unclassified
643,Neoplastic,common,diagnosis,False,"Invasive Ductal Carcinoma, No Special Type",Invasive Ductal Carcinoma,Malignant
644,Metabolic Systemic,common,diagnosis,False,Diabetic Ketoacidosis,Diabetic Ketoacidosis,Endocrine-Associated
645,Other,common,diagnosis,False,Acute Depression,Acute Depression,Psychocutaneous
646,Neoplastic,moderate,diagnosis,False,Metastatic Melanoma,Metastatic Melanoma,Malignant
647,Inflammatory,moderate,diagnosis,True,Frontal Fibrosing Alopecia,Frontal Fibrosing Alopecia,Autoimmune
648,Neoplastic,rare,diagnosis,False,Metastatic Lobular Breast Carcinoma,Metastatic Invasive Lobular Carcinoma of the Breast,Malignant
649,Other,rare,diagnosis,True,Subungual Epidermoid Inclusion Cyst,Subungual Epidermoid Inclusion Cyst,Traumatic & Environmental
650,Genetic Rare,rare,diagnosis,False,X-Linked Hypohidrotic Ectodermal Dysplasia,X-Linked Hypohidrotic Ectodermal Dysplasia,Syndromic
651,Other,rare,diagnosis,False,Cutaneous Collagenous Vasculopathy,Cutaneous Collagenous Vasculopathy,Unclassified
652,Infectious,moderate,diagnosis,False,Secondary Syphilis,Secondary Syphilis,Bacterial
653,Genetic Rare,rare,diagnosis,False,Junctional Epidermolysis Bullosa,Junctional Epidermolysis Bullosa,Genodermatoses
655,Inflammatory,moderate,diagnosis,False,Incomplete Kawasaki Disease,Incomplete Kawasaki Disease,Vascular & Urticarial
657,Metabolic Systemic,rare,diagnosis,False,Cryoglobulinemia,Cryoglobulinemia,Systemic Disease Manifestations
654,Inflammatory,moderate,diagnosis,False,Fixed Drug Eruption,Fixed Drug Eruption,Eczematous
658,Other,moderate,diagnosis,False,Port Wine Stain With Nodular Transformation,Port-Wine Stain with Nodular Transformation,Unclassified
659,Neoplastic,rare,diagnosis,False,"Dermatofibrosarcoma Protuberans, Fibrosarcomatous Type",Dermatofibrosarcoma Protuberans With Fibrosarcomatous Transformation,Malignant
660,Infectious,rare,diagnosis,False,Talaromycosis (Talaromyces Marneffei Infection),Talaromycosis,Fungal
662,Neoplastic,rare,diagnosis,False,Inflammatory Myofibroblastic Tumor,Inflammatory Myofibroblastic Tumor,Benign
661,Neoplastic,moderate,diagnosis,False,Lymphoma,Lymphoma,Malignant
656,Metabolic Systemic,rare,diagnosis,False,Smoldering Multiple Myeloma,Smoldering Multiple Myeloma,Systemic Disease Manifestations
664,Inflammatory,rare,diagnosis,False,Behcet'S Disease,Behçet's Disease,Neutrophilic
665,Neoplastic,rare,diagnosis,True,Myofibroblastoma,Myofibroblastoma,Benign
663,Neoplastic,common,diagnosis,False,Squamous Cell Carcinoma Of The Lung,Squamous Cell Carcinoma Of The Lung,Malignant
667,Neoplastic,common,diagnosis,False,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,Malignant
668,Inflammatory,rare,diagnosis,False,Immune Checkpoint Inhibitor-Related Diabetes Mellitus,Immune Checkpoint Inhibitor-Related Diabetes Mellitus,Autoimmune
666,Inflammatory,rare,diagnosis,False,Esophageal Lichen Planus,Esophageal Lichen Planus,Papulosquamous
669,Neoplastic,rare,mechanism,False,Melanoma-Associated Depigmentation / Immunotherapy-Induced Melanocyte Destruction,Melanoma-Associated Depigmentation,Malignant
670,Infectious,moderate,diagnosis,False,Hepatitis B Virus Reactivation,Hepatitis B Virus Reactivation,Viral
671,Neoplastic,common,diagnosis,False,Colorectal Adenocarcinoma,Colorectal Adenocarcinoma,Malignant
675,Neoplastic,rare,diagnosis,True,Pagetoid Bowen'S Disease,Bowen's Disease,Premalignant
673,Neoplastic,rare,diagnosis,False,Anorectal Malignant Melanoma,Anorectal Malignant Melanoma,Malignant
672,Inflammatory,moderate,diagnosis,False,Calcium Hydroxylapatite Filler Nodule,Calcium Hydroxylapatite Filler Nodule,Neutrophilic
678,Genetic Rare,rare,diagnosis,False,Nevoid Basal Cell Carcinoma Syndrome,Nevoid Basal Cell Carcinoma Syndrome,Syndromic
679,Genetic Rare,rare,diagnosis,False,Peutz-Jeghers Syndrome,Peutz-Jeghers Syndrome,Syndromic
680,Genetic Rare,moderate,diagnosis,True,Multicystic Dysplastic Kidney,Multicystic Dysplastic Kidney,Syndromic
681,Inflammatory,moderate,diagnosis,False,Hidradenitis Suppurativa,Hidradenitis Suppurativa,Neutrophilic
